"id","Раунд","Турнир (название)","Турнир (формат)","Турнир (город)","Дата","Резолюция","Тематика (подблок)","Автор / соавтор / предложил тему","Есть видео в
видеотеке"
"2133","Р5","Слово молодым ","Для новичков","Санкт-Петербург","2017.10","ЭП будет субсидировать секс-услуги для людей с особыми потребностями (проституция, устройства и т.д.)","615. Инвалидность/особенности развития..
711. Секс","Абдуллаев Абдулла",""
"2134","ЧФ","Слово молодым ","Для новичков","Санкт-Петербург","2017.10","ЭП обяжет компании, которые сокращают сотрудников из-за роботизации, содержать их еще три года","202. Перераспределение (почему именно его обязываем)
404. Трудовые права (автоматизация)
722. Технологии. Роботы, ИИ","Надпорожский Илья",""
"2135","ПФ","Слово молодым ","Для новичков","Санкт-Петербург","2017.10","ЭП даст каждому человеку полную свободу выбора того, на что пойдут его налоги","202. Перераспределение.
306. Действие. Иррациональный / несвободный выбор.
403. Управление (государство, частник, НКО)","Худяков Герман",""
"2136","Ф","Слово молодым ","Для новичков","Санкт-Петербург","2017.10","ЭП осуществит реколонизацию беднейших стран мира","401. Неравенство и/или экономический рост
501. Конфликтология. Влияние (международка)
501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
501. Конфликтология. Давление (война)
501. Конфликтология. Общество насилия.
502. Демократия и авторитаризм..
503. Идентичность и/или Интеграция
601. Ущемляемые
807. Африка","Худяков Герман, Мухамедьяров Айрат",""
"2137","Р1","X КП МГЮА ","Открытый","Москва","2017.10","ЭП поддерживает проведение денационализации региональных элит в России","501. Конфликтология. Влияние.
501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
503. Идентичность и/или Интеграция
614. Расизм
802. Россия. Политика и общество","",""
"2138","Р2","X КП МГЮА ","Открытый","Москва","2017.10","ЭП, как Иракский Курдистан, примет сделку с правительством Ирака
* Правительство Ирака предложило властям Иракского Курдистана сделку, по которой курды:
• гарантируют территориальную целостность страны;
• признают приоритет федеральной власти;
• отдают контроль над авиасообщением, границей и экспортом нефти;
• отказываются от ведения внешней политики","501. Конфликтология. Влияние (международка)
501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
501. Конфликтология. Давление (война)
806. Большой Ближний Восток. Война в Сирии и Ираке (2011 – …) (в т.ч. ИГИЛ)
806. Большой Ближний Восток. Курды","","2"
"2139","Р3","X КП МГЮА ","Открытый","Москва","2017.10","ЭПСЧ политические партии не должны владеть бизнесом","305. Действие. Стимул работать..
305. Действие. Стимул работать. Коммерциализация
403. Управление (государство, частник, НКО)
502. Демократия и авторитаризм..","","2"
"2140","Р4","X КП МГЮА ","Открытый","Москва","2017.10","ЭП, как LSE (Лондонская фондовая биржа), введёт специальный листинг
* По правилам листинга (размещение акций на бирже) Лондонской биржи компании могут либо торговаться с компаниями малой капитализации и стартапами, или использовать премиум-листинг, который обязывает раскрывать аудиторскую отчётность за три года и для крупных сделок получать согласие всех миноритариев, включая акционеров. Также акционеры должны обладать полным стратегическим контролем над бизнесом.
Листинговое агентство Великобритании предлагает ввести специальный листинг для крупных компаний с менее жёсткими требованиями. Также специальный листинг открывает биржу Лондона для государственных компаний (т.е. требования специального листинг менее жёсткие, чем требования премиум-листинга)","405. Макроэкономика. Кризис
405. Макроэкономика. Банки, кредиты, инвестиции","","2"
"2141","Р5","X КП МГЮА ","Открытый","Москва","2017.10","ЭП, как житель Палестины, сожалеет о подписании соглашения между ФАТХ и Хамас
* В октябре 2017 года в Каире была встреча между представителями ФАТХ и Хамас. По итогам встречи было заключено соглашение, согласно которому полный контроль над Газой переходит Палестинской национальной администрации. Также отряды ПНА возьмут контроль над КПП в Рафахе. При этом соглашение не включает в себя разоружение военных сил Хамас.","501. Конфликтология. Влияние (международка)
501. Конфликтология. Влияние (выборы)
501. Конфликтология. Влияние (единство)
501. Конфликтология. Давление (война)
502. Демократия и авторитаризм..
806. Большой Ближний Восток. Израиль и/или Палестина","","2"
"2142","Фмк","X КП МГЮА ","Открытый","Москва","2017.10","ЭП сожалеет о распространении дейтинговых сервисов (тиндер и т.д.)","711. Секс
712. Околосемейные отношения","",""
"2143","ПФ","X КП МГЮА ","Открытый","Москва","2017.10","При наличии технологии переноса сознания из тела умершего человека в компьютер ЭП создаст виртуальные рай и ад","305. Действие. Стимул работать..
501. Конфликтология. Давление (уголовка: пытки / телесные)","","2"
"2144","Ф","X КП МГЮА ","Открытый","Москва","2017.10","ЭПСЧ человечество должно прекратить разработку новых видов оружия (в т.ч. модернизацию)","501. Конфликтология. Давление (вооружённые силы)
502. Демократия и авторитаризм..","","1"
"2145","Р1","McKinsey Debate Cup 2017 ","Открытый","Москва","2017.11","ЭП будет наказывать компании за существенные переработки офисных работников
* В разных странах трудовое законодательство допускает разное количество часов переработок. Однако практически во всех странах количество часов ограничено
В некоторых случаях, таких как например с врачами, дальнобойщиками и т.д. гос-во следит за соблюдением законов
При этом на переработки консультантов, банкиров, аудиторов, журналистов и ряда других профессий интеллектуального труда государство обычно закрывает глаза до тех пор, пока они оплачиваются и есть обоюдное согласие","306. Действие. Иррациональный / несвободный выбор.
404. Трудовые права.","","4"
"2146","Р2","McKinsey Debate Cup 2017 ","Открытый","Москва","2017.11","ЭПСЧ правительство не должно спасать неуспешные частные предприятия","403. Управление (государство, частник, НКО)
405. Макроэкономика. Кризис","","4"
"2147","Р3","McKinsey Debate Cup 2017 ","Открытый","Москва","2017.11","Глава европейской пограничной службы Frontex Фабрис Леггери обвинил международные неправительственные организации (МНПО) в содействии контрабанде людей. Подбирая людей, терпящих бедствие на пути в Европу у берегов Ливии и доставляя их в Италию без уведомления соответствующих европейских служб, суда МНПО фактически поощряют деятельность контрабандистов. Левые движения и гуманитарные организации Западной Европы категорически отвергают эти обвинения и ведут активную кампанию в СМИ в поддержку своих действий. 
ЭП осудит деятельность таких организаций","731. Миграция и демография. Миграция, беженцы, мобильность","Волошина Кристина","4"
"2148","Р4","McKinsey Debate Cup 2017 ","Открытый","Москва","2017.11","ЭП, как белый американский спортсмен умеренных республиканских взглядов, поднимет кулак (или встанет на колено)
* Поднятый вверх кулак в момент исполнения национального гимна - давний символ протеста чернокожих американцев против расизма в США. Широкую известность получил во время Олимпиады 1968. В наши дни «цветные» спортсмены активно используют этот символ, протестуя против политики Дональда Трампа и проявлений расизма и ксенофобии в США. Также наравне с поднятым кулаком некоторые встают на одно колено при исполнении гимна.","501. Конфликтология. Влияние (выборы)
614. Расизм
732. Спорт
801. Запад. США","","5"
"2149","Р5","McKinsey Debate Cup 2017 ","Открытый","Москва","2017.11","ЭП будет жертвовать деньги только благотворительным организациям, доказавшим свою эффективность
* Под эффективностью в этом раунде мы понимаем:
- максимизацию вероятности достижения желаемого результата
- максимизацию эффекта при ограниченных ресурсах","201. Утилитаризм, вуаль незнания
402. Конкуренция..
601. Ущемляемые
603. Ущемляемые. Благотворительность","","4"
"2150","ПФ","McKinsey Debate Cup 2017 ","Открытый","Москва","2017.11","ЭП лишит Аун Сан Су Чжи Нобелевской премии мира
* Аун Сан Су Чжи - министр иностранных дел Мьянмы (Бирмы) и фактический Глава правительства (Государственный советник). Находясь под домашним арестом из-за политических противоречий с находившейся тогда у власти военной хунтой, в 1991 году получила Нобелевскую премию мира «за ненасильственную борьбу за демократию и права человека». Созданная ей партия, «Национальная лига за демократию», по итогам выборов 2015 года имеет большинство в Парламенте. В 2016-2017 годах многие СМИ, а также международные организации, включая ООН, сообщают о многочисленных нарушениях прав человека, включая внесудебные казни, групповые изнасилования, поджоги и детоубийства, против мусульман народности Рохинджа, проживающих в штате Ракхайн. Соседние страны сообщают о десятках тысяч беженцев Рохинджа, покинувших Мьянму. Аун Сан Су Чжи критикуют за её молчание и отсутствие видимых действий по этому вопросу.","501. Конфликтология. Влияние (международка)
501. Конфликтология. Давление..
502. Демократия и авторитаризм..
805. Восточная Азия (АТР)..","","2"
"2151","Ф","McKinsey Debate Cup 2017 ","Открытый","Москва","2017.11","ЭП как феминистическое сообщество одобряет активное участие женщин в качестве боевой силы в военных конфликтах и гражданских войнах","501. Конфликтология. Давление (война)
501. Конфликтология. Давление (вооружённые силы)
501. Конфликтология. Общество насилия (маскулинность / милитаризм)
611. Гендерное неравенство. Права женщин (феминизм)","Волошина Кристина","1"
"2152","Р1","Осенний Внутренний Турнир МГУ-МГТУ-МГЮА-РЭУ 2017 ","Внутренний","Москва","2017.11","ЭП установит лимит времени на игру в онлайн-игры","306. Действие. Иррациональный / несвободный выбор.
733. Развлечения. Компьютерные игры, VR","",""
"2153","Р2","Осенний Внутренний Турнир МГУ-МГТУ-МГЮА-РЭУ 2017 ","Внутренний","Москва","2017.11","ЭП поддерживает практику отпусков для тюремных заключенных","304. Привыкание VS. возбуждение / накопление
501. Конфликтология. Давление (уголовка: тюрьма)
503. Идентичность и/или Интеграция
617. Преступники / бывшие заключённые","",""
"2154","Р3","Осенний Внутренний Турнир МГУ-МГТУ-МГЮА-РЭУ 2017 ","Внутренний","Москва","2017.11","ЭП введет ""слепое"" голосование","502. Демократия и авторитаризм..","",""
"2155","Р4","Осенний Внутренний Турнир МГУ-МГТУ-МГЮА-РЭУ 2017 ","Внутренний","Москва","2017.11","ЭП запретит жертве домашнего насилия возвращаться к своему насильнику","306. Действие. Иррациональный / несвободный выбор.
501. Конфликтология. Общество насилия (маскулинность и домашнее насилие)
712. Околосемейные отношения","",""
"2156","ПФ","Осенний Внутренний Турнир МГУ-МГТУ-МГЮА-РЭУ 2017 ","Внутренний","Москва","2017.11","ЭП сожалеет о распространении секс-робота Harmony
* Хармони - первый секс-робот с искусственным интеллектом. Она двигается, разговаривает на простые темы, использует мимику. Управление происходит через мобильное приложение. В настройках можно задавать характер Хармони: сделать её милой, ревнивой, капризной, любящей. Хармони знает любимые сексуальные позы владельца и сколько раз за день она ему понадобится. Узнаёт его благодаря распознаванию лиц, умеет реагировать на прикосновения. Хармони создали в компании риал долл, которая выпускает секс-игрушки для людей по всему миру. Стоимость заказа до 50 000 долларов США в зависимости от пожеланий. В основном заказывают кукол-женщин, но есть небольшой спрос и на кукол-мужчин. Куклы часто соответствуют идеалу красоты - они похожи на Барби (с тонкой талией и большой грудью).
https://vk.com/video-32943546_456239245","711. Секс. Порно","",""
"2157","Ф","Осенний Внутренний Турнир МГУ-МГТУ-МГЮА-РЭУ 2017 ","Внутренний","Москва","2017.11","ЭП, как Япония, признает вину за создание ""станций утешения"" и выплатит компенсации семьям пострадавших женщин
* ""Станции утешения"" - это военные бордели, существовавшие на территории Японии и на оккупированных ею территориях с 1932 по 1945 гг. Они находились под контролем японского военного командования. Изначально в них работали женщины-добровольцы из Японии, однако вскоре (с увеличением запроса) завоеватели стали принуждать к обслуживанию женщин из местного населения. Всего через ""станции утешения"" прошли более 400 000 девушек и девочек из самых разных возрастов из Японии, Китая, Кореи и Тайваня. До конца войны дожила лишь четверть из всех девушек. В 1990-е гг. японское правительство официально принесло извинения выжившим ""женщинам для утешения"" и семьям погибших работниц ""станций"", но уже в 2007 г. они забрали эти слова назад. Сегодня США, Канада и Европарламент приняли резолюцию, призывающую Японию принять на себя полную ответственность за эти события","501. Конфликтология. Влияние (международка)
805. Восточная Азия (АТР). Япония","",""
"2158","Р1","Кубок ИСиР ЮФУ 2017 ","Открытый","Ростов-на-Дону","2017.11","ЭП запретит сделки о признании вины и соглашения о досудебном сотрудничестве","501. Конфликтология и/или безопасность и/или функции уголовной ответственности","",""
"2159","Р2","Кубок ИСиР ЮФУ 2017 ","Открытый","Ростов-на-Дону","2017.11","ЭП как Демократическая партия публично признает факт коррупции и откажется от соглашений с Хиллари Клинтон
* По словам бывшей главы Национального комитета Демократической партии (DNC), в 2015 году, за год до официального выдвижения Хиллари Клинтон, между DNC, избирательным фондом Клинтон и комитетами Демократической партии в 32 штатах были заключены соглашения о совместном сборе пожертвований, которые подразумевали создание объединенного фонда для сбора пожертвований на нужды DNC, партийных комитетов в штатах и избирательной кампании Клинтон. Совместное соглашение позволяет обойти ограничения на размер пожертвований. Так, максимальный размер пожертвования партийному комитету штата составляет $10,000, Национальному комитету — $33,400, а кандидату в президенты — $2,700. В совместный фонд можно пожертвовать до $350,000. По данным СМИ, 99% собранных средств пошли на нужды DNC или кампании Клинтон. В соответствии с данным соглашением, Клинтон также получала контроль над DNC в виде права вето при принятии решений о партийных финансах, стратегии, найме новых сотрудников DNC и назначении на ключевые должности DNC","501. Конфликтология. Влияние (выборы)
801. Запад. США","",""
"2160","Р3","Кубок ИСиР ЮФУ 2017 ","Открытый","Ростов-на-Дону","2017.11","ЭП запретит корректирующие операции для детей-интерсексов (кроме случаев, когда вмешательство обусловлено медицинской необходимостью).
* Интерсекс-люди — люди, рождённые с половыми признаками (включая гениталии, половые железы и набор хромосом), которые не соответствуют строго мужскому или женскому полу: например, с неопределенным строением гениталий или хромосомным набором, отличающимся от XX и XY","503. Идентичность и/или Интеграция
613. ЛГБТ+","",""
"2161","Р4","Кубок ИСиР ЮФУ 2017 ","Открытый","Ростов-на-Дону","2017.11","ЭПСЧ интернет-корпорации (Facebook, Google, Twitter) не должны сотрудничать с властями авторитарных стран (соблюдать законы, направленные на нарушение приватности или свободы слова; предоставлять информацию о пользователях; блокировать запрещенные цензурой материалы)","501. Конфликтология. Давление (санкции)
502. Демократия и авторитаризм..
721. Информационная сфера. Социальные сети","",""
"2162","Р5","Кубок ИСиР ЮФУ 2017 ","Открытый","Ростов-на-Дону","2017.11","ЭП как феминистское сообщество не будет поддерживать спортсменок/женские спортивные команды, в PR которых используются объективирующие методы ","611. Гендерное неравенство. Права женщин (феминизм)
612. Лукизм (+ Сексуальная объективация + Сексуальное насилие)
732. Спорт","",""
"2163","ПФ","Кубок ИСиР ЮФУ 2017 ","Открытый","Ростов-на-Дону","2017.11","ЭП как Босния и Герцеговина откажется от Дейтонских соглашений и перейдет к внеэтнической модели демократии
* Согласно Дейтонским соглашениям, принятых после югославских войн, органы власти Боснии и Герцеговины (Президиум и парламент) должны состоять из представителей трех главных народов (боснийцев, сербов и хорватов). Президиум состоит из трех человек (по одному от каждого народа), парламент — по трети депутатов от каждого народа, при этом есть так называемое «народное вето» - если большинство депутатов, избранных от одного из трёх народов, голосовали против того или иного предложения, оно считалось отвергнутым, несмотря на позицию других двух народов. При этом большое количество властных полномочий (установление ставок по налогам, работа правоохранительных органов, заключение международных соглашений с другими странами) принадлежит регионам: Федерации Боснии и Герцеговины (проживают этнические боснийцы и хорваты) и Республике Сербской (проживают этнические сербы).","502. Демократия и авторитаризм..
503. Идентичность и/или Интеграция
614. Расизм
801. Запад. Европа и/или ЕС (Балканы)","",""
"2164","Ф","Кубок ИСиР ЮФУ 2017 ","Открытый","Ростов-на-Дону","2017.11","ЭП сожалеет об американской мечте","305. Действие. Стимул работать..","",""
"2165","Р1","VII Открытый Кубок ЮУрГУ ","Открытый","Челябинск","2017.11","ЭПСЧ развивающиеся страны не должны мешать развитию частных школ в своих странах","403. Управление (государство, частник, НКО)
723. Образование","Черкасский Илья",""
"2166","Р2","VII Открытый Кубок ЮУрГУ ","Открытый","Челябинск","2017.11","ЭП сожалеет о росте кликтивизма
* The Oxford English Dictionary defines Clicktivism as “the use of social media and other online methods to promote a cause.”
More often than not this takes the form of supporting and promoting a cause on social media, but it can include a whole a range of activities, for example:
• organizing protests (Egypt circa 2011, at least in part)
• facilitating boycotts (a boycott of Whole Foods)
• signing petitions (Greenpeace’s marine reserves petition, or anything on Avaaz)
• hacktivism (Google’s work with Say Now to circumvent censorship of Twitter in Egypt)
• crowdfunding (kiva.org or kickstarter)
• online parody and satire (Yes Men style parodies of Koch Industries)
• Google bombing (Dan Savage’s Santorum campaign)
• circumventing news blackouts/keeping people informed (Gezi Park protests)","721. Информационная сфера. Социальные сети","Черкасский Илья",""
"2167","Р3","VII Открытый Кубок ЮУрГУ ","Открытый","Челябинск","2017.11","ЭП как Израиль поддерживает разведывательную доктрину еврейского народа
* Разведывательная доктрина еврейского народа - это предложение, согласно которому разведывательные службы государства Израиль должны нести ответственность по обеспечению безопасности не только граждан Израиля, но и еврейских общин за границей. Если эта доктрина будет принята, Израиль будет использовать существенные ресурсы и проводить потенциально насильственные операции для защиты евреев по всему миру","201. Утилитаризм, вуаль незнания
501. Конфликтология. Влияние (международка)
501. Конфликтология. Давление..
614. Расизм
806. Большой Ближний Восток. Израиль и/или Палестина","Колташев Павел",""
"2168","Р4","VII Открытый Кубок ЮУрГУ ","Открытый","Челябинск","2017.11","ЭПСЧ рэп-культура приносит афроамериканцам больше вреда, чем пользы","501. Конфликтология. Общество насилия (маскулинность / милитаризм)
614. Расизм","",""
"2169","Р5","VII Открытый Кубок ЮУрГУ ","Открытый","Челябинск","2017.11","ЭП легализует вторичную забастовку
* Вторичная забастовка (или забастовка из симпатии) - тип забастовки, когда работники третьей фирмы устраивают забастовку в поддержку работников другой фирмы. Их цель - заставить свою компанию оборвать экономические связи с другой компанией, чьи работники бастуют, и таким образом увеличить давление. В большинстве стран такой род забастовок нелегален и наказывается штрафом","202. Перераспределение.
305. Действие. Стимул работать..
306. Действие. Иррациональный / несвободный выбор.
404. Трудовые права (профсоюзы)
501. Конфликтология. Влияние (единство)","",""
"2170","ПФ","VII Открытый Кубок ЮУрГУ ","Открытый","Челябинск","2017.11","ЭП сожалеет о концепции ""ты не такой, как все""","305. Действие. Стимул работать..","Колташев Павел",""
"2171","Ф","VII Открытый Кубок ЮУрГУ ","Открытый","Челябинск","2017.11","ЭП случайным образом поменяет местами всех новорождённых младенцев","601. Ущемляемые
713. Дети. Родители и дети","Черкасский Илья",""
"2172","Р1","XI ОТ МЛЧ ","Для новичков","Москва ","2017.11","ЭП не будет давать социальные пособия и льготы на детей семьям, отказавшимся вакцинировать детей","306. Действие. Иррациональный / несвободный выбор.
501. Конфликтология. Давление..
724. Медицина","Худяков Герман, Наки Майкл",""
"2173","Р2","XI ОТ МЛЧ ","Для новичков","Москва ","2017.11","ЭПСЧ было бы лучше, если все спортивные клубы должны были бы использовать только собственных воспитанников","732. Спорт","Худяков Герман",""
"2174","Р3","XI ОТ МЛЧ ","Для новичков","Москва ","2017.11","ЭП введёт квоты в кинотеатрах на фильмы, где главным героем является женщина","611. Гендерное неравенство. Права женщин (феминизм)","Молчанский Андрей",""
"2175","Р4","XI ОТ МЛЧ ","Для новичков","Москва ","2017.11","ЭПСЧ военную борьбу против исламского терроризма должны вести исключительно ближневосточные страны","202. Перераспределение (почему именно его обязываем)
501. Конфликтология. Давление..
801. Запад..
806. Большой Ближний Восток..","Худяков Герман",""
"2176","Р5","XI ОТ МЛЧ ","Для новичков","Москва ","2017.11","ЭП сожалеет от коммерциализации высшего образования","723. Образование","Мишаков Никита",""
"2177","ЧФ","XI ОТ МЛЧ ","Для новичков","Москва ","2017.11","ЭП обяжет социальные сети показывать в лентах новостей записи, противоречащие политическим и иным взглядам пользователей, пропорционально их представленности у всего населения","301. Вера. Формирование убеждений
601. Ущемляемые
721. Информационная сфера. СМИ и свобода слова
721. Информационная сфера. Социальные сети","Самарский Артем",""
"2178","ПФ","XI ОТ МЛЧ ","Для новичков","Москва ","2017.11","ЭП сожалеет о распространении либертарианского патернализма","306. Действие. Иррациональный / несвободный выбор.","Самарский Артем, Мишаков Никита",""
"2179","Ф","XI ОТ МЛЧ ","Для новичков","Москва ","2017.11","ЭП обяжет компании, которые получают прибыль от культурно-этнических традиций (этнические рестораны, туризм в индейские поселения, уроки этнических танцев и т.п.), получать лицензию от этих этнических меньшинств","503. Идентичность и/или Интеграция
614. Расизм","Худяков Герман",""
"2180","Р1","Джедайский турнир МГУ 2017 ","Джедайский","Москва","2017.11","Создана технология чипирования, не наносящая вреда здоровью и позволяющая временно устранить репродуктивную функцию человека
ЭП введёт высокую минимальную границу среднедушевого семейного дохода, необходимого для того, чтобы иметь детей","713. Дети. Воспитание, лишение родит. прав","Черкасский Илья","1"
"2181","Р2","Джедайский турнир МГУ 2017 ","Джедайский","Москва","2017.11","ЭП запретит компаниям шоу-бизнеса разрывать контракты с сотрудниками на основании обвинений и скандалов, связанных с сексуальными домогательствами, если судом не вынесено решение, напрямую препятствующее работе данного сотрудника","202. Перераспределение.
501. Конфликтология и/или безопасность и/или функции уголовной ответственности
612. Лукизм (+ Сексуальная объективация + Сексуальное насилие)","Черкасский Илья",""
"2182","Р3","Джедайский турнир МГУ 2017 ","Джедайский","Москва","2017.11","ЭПСЧ все страны должны давать право голоса своим гражданам на территории страны проживания, даже если они долгое время проживают за границей","202. Перераспределение.
502. Демократия и авторитаризм. Право голоса
503. Идентичность и/или Интеграция
731. Миграция и демография. Миграция, беженцы, мобильность","","1"
"2183","Р4","Джедайский турнир МГУ 2017 ","Джедайский","Москва","2017.11","ЭПСЧ до наступления совершеннолетия все решения о медицинском вмешательстве в жизнь и здоровье ребёнка должны приниматься государством, а не родителями
* Чарли Гард – одиннадцатимесячный ребенок из Великобритании, страдавший неизлечимым заболеванием. Родители намеревались отправить его на экспериментальное лечение в США, однако суд Лондона счел, что это принесет ему чрезмерные страдания. В этом году Чарли Гард  был отключен от аппарата искусственного жизнеобеспечения","713. Дети. Воспитание, лишение родит. Прав
724. Медицина","","1"
"2184","Р5","Джедайский турнир МГУ 2017 ","Джедайский","Москва","2017.11","ЭП (Россия) значительно ограничит трудовую миграцию из стран Средней Азии, включающую только неквалифицированную рабочую силу (значительно увеличит стоимость трудового патента, ввёдет визовый режим и вышлет всех мигрантов, не удовлетворяющих новым условиям, за рубеж)","731. Миграция и демография. Миграция, беженцы, мобильность","","1"
"2185","ПФ, Фмк","Джедайский турнир МГУ 2017 ","Джедайский","Москва","2017.11","ЭП имплементирует использование этой технологии для каждого гражданина
* Создана технология, позволяющая записывать и хранить весь видео- и аудиоряд воспоминаний каждого человека. Доступ есть у самого владельца памяти и у государственных органов при расследовании преступлений","301. Вера. Память
302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
501. Конфликтология и/или безопасность. Прослушка и проч. (+ privacy)
502. Демократия и авторитаризм..","Черкасский Илья","1"
"2186","Ф","Джедайский турнир МГУ 2017 ","Джедайский","Москва","2017.11","ЭП как феминистическое движение будет поддерживать распространение нарратива «красота не важна», а не нарратива «все тела прекрасны»","611. Гендерное неравенство. Права женщин (феминизм)
612. Лукизм (+ Сексуальная объективация + Сексуальное насилие)
724. Медицина. Ожирение, ЗОЖ, бодипозитив","",""
"2187","Р1","Кубок ТюмГУ ","Открытый","Тюмень","2017.12","ЭП обяжет компании, специализирующиеся на тренингах личностного роста, гарантировать измеримый результат","305. Действие. Стимул работать..
306. Действие. Иррациональный / несвободный выбор.","Колташев Павел",""
"2188","Р2","Кубок ТюмГУ ","Открытый","Тюмень","2017.12","ЭП отменит сроки давности за тяжкие и особо тяжкие преступления","501. Конфликтология. Давление..","",""
"2189","Р3","Кубок ТюмГУ ","Открытый","Тюмень","2017.12","ЭП сожалеет о сделке с Мугабе
* 15 ноября группа офицеров из высшего командования армии Зимбабве захватила власть в стране. Военные пытались убедить Роберта Мугабе добровольно уйти в отставку, однако он отказался, заявив, что не подвергает сомнению свой статус главы государства и правительства. Тогда Мугабе сместили с поста лидера правящей партии, после чего 21 ноября парламент начал процедуру его импичмента. В тот же день Мугабе подал в отставку. За согласие добровольно уйти в отставку бывший президент Зимбабве Роберт Мугабе получит 10 миллионов долларов, иммунитет для своей семьи, неприкосновенность семейных бизнес-активов","501. Конфликтология и/или безопасность и/или функции уголовной ответственности
502. Демократия и авторитаризм..
807. Африка","Николаев Даниил",""
